id,question,A,B,C,D,answer
48,数学对于一个国家的发展至关重要，发达国家常常把保持数学领先地位作为他们的战略需求．现某大学为提高数学系学生的数学素养，特开设了“古今数学思想”“世界数学通史”“几何原本”“什么是数学”四门选修课程，要求数学系每位同学每学年至多选3门，大一到大三3学年必须将四门选修课程选完，则每位同学的不同选修方式有____,60种,78种,84种,144种,B
49,"若平面$\alpha$的法向量为$\vec{n}_{1}=(3,2,1)$，平面$\beta$的法向量为$\vec{n}_{2}=(2,0,-1)$则平面$\alpha$与平面$\beta$夹角的余弦值为____",$\frac{\sqrt{70}}{14}$,$\frac{\sqrt{70}}{10}$,$-\frac{\sqrt{70}}{14}$,$-\frac{\sqrt{70}}{10}$,A
52,某一电子集成块有三个元件a，b，c并联构成，三个元件是否有故障相互独立．已知至少1个元件正常工作，该集成块就能正常运行．若每个元件能正常工作的概率均为$\frac{4}{5}$则在该集成块能够正常工作的情况下，有且仅有一个元件出现故障的概率为____,$\frac{12}{31}$,$\frac{48}{125}$,$\frac{16}{25}$,$\frac{16}{125}$,A
53,"已知条件$p:\left|x+1\right|>2$，条件$q:x>a$,且$\neg p$是$\neg q$的充分不必要条件，则实数a的取值范围是____",$a\geq1$,$a\leq1$,$a\geq-1$,$a\leq -3$,A
54,"已知函数$f(x)$是定义在$\mathbb{R}$上的偶函数，且在$\left(0,+\infty\right)$上单调递增，则____",$f(-3)<f(-\log_{3}13)<f(2^{0.6})$,$f(-3)<f(2^{0.6})<f(-\log_{3}13)$,$f(2^{0.6})< f(-\log_{3}13) <f(-3)$,$f(2^{0.6})<f(-3)< f(-\log_{3}13) $,C
55,下列关于法律推理的表述，能够成立的是____。,演绎推理是一种或然性推理,归纳推理是从一般知识推出个别知识的推理,类比推理是判例法国家运用的一种基本的法律推理方法,辩证推理实际上是一种立法活动,C
56,某住宅小区业主从事的下列行为中，不必将相关情况告知物业服务人的情形是____。,业主甲将其房屋出租给赵某,业主乙在其住宅上设立居住权供其弟居住,业主丙依法将建筑区划内的绿地改造成花园,业主丁在其住宅上设立地役权,D
57,张某在甲期刊社发表了一篇颇具价值的学术论文，但未作版权说明。乙期刊社将该学术论文作为资料刊登。则乙期刊社的行为____。,属于合理使用，不必向著作权人支付报酬,属于侵犯著作权的行为,不必经甲期刊社同意，但应向其支付报酬,不必经张某同意，但应向其支付报酬,D
69,下列选项中，属于无因行为的是____。,出售房屋,汇票的出票,赠与电脑,继承遗产,B
70,与《大清律例》相比，《大清现行刑律》的变化不包括____。,取消了六部分篇的法典编纂体例,删除了“十恶”重罪等内容,对于婚姻、继承、田宅、钱债等纯属民事性质的行为不再科刑,增加了一些新罪名，诸如妨害国交罪、妨害选举罪、私铸银元罪等,B
71,《刑法》第115条第2款规定“过失犯前款罪的……”，属于____。,简单罪状,叙明罪状,空白罪状,引证罪状,D
72,下列选项中，属于代理情形的是____。,甲委托乙把自己的孩子从幼儿园接回来,丙接受丁的委托，以丁的名义与戊签订买卖合同,赵某接受钱某的委托，将钱某不接受缔约要求的意思表示向孙某作了回复,远大公司由法定代表人李某与宏远公司法定代表人周某签订加工承揽合同,B
73,甲、乙、丙三人分别出资30万元、30万元、40万元购买重型货车一辆，从事长途运输。三人约定：甲负责驾驶，乙负责对车管理维护，而丙负责招揽业务，且3年内不得分割共有物。三人对其他事项未作约定。甲、丙二人未经乙的同意，擅自签订抵押合同将该车抵押给不知情的丁，并办理了抵押登记。后来，甲因疲劳驾驶发生事故，造成行人戊受伤。对此，下列说法正确的是____。,甲、乙、丙对于货车享有的权利份额，应当按照出资额确定,戊只能要求甲赔偿损失,丁善意取得货车的抵押权,甲、乙、丙可以随时请求分割共有物,A
74,幼儿园教师甲在幼儿园卫生间多次用针刺戳肖某等10余名幼儿的臀部，虽未造成伤害后果，但情节十分恶劣。甲的行为应认定为____。,侮辱罪,猥亵儿童罪,虐待被监护、看护人罪,故意伤害罪,C
